
Name,Average Goals per Game,Most Played Position,Start Year,End Year,Country,FIFA World Cup Wins (world championship by country),Copa America OR Euro Cup Championships,Fifa World Player of the Year (Gold, silver or bronze),Champions League
Pele,0.9384,Forward,1957,1977,Brazil,3,0,-1,1
Maradona,0.563,Attacking midfielder,1976,1997,Argentina,1,0,-1,0
Messi,0.8043,Forward,2004,Present,Argentina,0,1,3,4
Cristiano Ronaldo,0.7315,Forward,2003,Present,Portugal,0,1,3,5
Ronaldo Luís Nazário de Lima,0.6721,Forward,1990,2011,Brazil,2,2,5,0
Zidane,0.1943,ATtacking midfielder,1982,2006,France,1,1,6,2
Cruyff,0.58,Attacking midfielder,1957,1984,Netherlands,0,0,-1,1
Beckenbauer,0.1307,Central defender (sweeper)w,1964,1983,Germany,1,1,0,0
